subset,analyte,n,n_patients,PopRI_pct,PopRI_valid,PopRI_abn,PopRI_pct_lo,PopRI_pct_hi,PerRI_pct,PerRI_valid,PerRI_abn,PerRI_pct_lo,PerRI_pct_hi,PerRI_reclass_pct,PerRI_reclass_valid,PerRI_reclass_abn,PerRI_reclass_pct_lo,PerRI_reclass_pct_hi,Cohen_m2_pct,Cohen_m2_valid,Cohen_m2_abn,Cohen_m2_pct_lo,Cohen_m2_pct_hi,Cohen_m2_reclass_pct,Cohen_m2_reclass_valid,Cohen_m2_reclass_abn,Cohen_m2_reclass_pct_lo,Cohen_m2_reclass_pct_hi,Cohen_m3_pct,Cohen_m3_valid,Cohen_m3_abn,Cohen_m3_pct_lo,Cohen_m3_pct_hi,Cohen_m3_reclass_pct,Cohen_m3_reclass_valid,Cohen_m3_reclass_abn,Cohen_m3_reclass_pct_lo,Cohen_m3_reclass_pct_hi,Cohen_m4_pct,Cohen_m4_valid,Cohen_m4_abn,Cohen_m4_pct_lo,Cohen_m4_pct_hi,Cohen_m4_reclass_pct,Cohen_m4_reclass_valid,Cohen_m4_reclass_abn,Cohen_m4_reclass_pct_lo,Cohen_m4_reclass_pct_hi,Gaussian_mle_pct,Gaussian_mle_valid,Gaussian_mle_abn,Gaussian_mle_pct_lo,Gaussian_mle_pct_hi,Gaussian_mle_reclass_pct,Gaussian_mle_reclass_valid,Gaussian_mle_reclass_abn,Gaussian_mle_reclass_pct_lo,Gaussian_mle_reclass_pct_hi,Gaussian_trunc_pct,Gaussian_trunc_valid,Gaussian_trunc_abn,Gaussian_trunc_pct_lo,Gaussian_trunc_pct_hi,Gaussian_trunc_reclass_pct,Gaussian_trunc_reclass_valid,Gaussian_trunc_reclass_abn,Gaussian_trunc_reclass_pct_lo,Gaussian_trunc_reclass_pct_hi,Gaussian_eb_pct,Gaussian_eb_valid,Gaussian_eb_abn,Gaussian_eb_pct_lo,Gaussian_eb_pct_hi,Gaussian_eb_reclass_pct,Gaussian_eb_reclass_valid,Gaussian_eb_reclass_abn,Gaussian_eb_reclass_pct_lo,Gaussian_eb_reclass_pct_hi,NORMA_q_age_set_pct,NORMA_q_age_set_valid,NORMA_q_age_set_abn,NORMA_q_age_set_pct_lo,NORMA_q_age_set_pct_hi,NORMA_q_age_set_reclass_pct,NORMA_q_age_set_reclass_valid,NORMA_q_age_set_reclass_abn,NORMA_q_age_set_reclass_pct_lo,NORMA_q_age_set_reclass_pct_hi,NORMA_334f7e21_pct,NORMA_334f7e21_valid,NORMA_334f7e21_abn,NORMA_334f7e21_pct_lo,NORMA_334f7e21_pct_hi,NORMA_334f7e21_reclass_pct,NORMA_334f7e21_reclass_valid,NORMA_334f7e21_reclass_abn,NORMA_334f7e21_reclass_pct_lo,NORMA_334f7e21_reclass_pct_hi,NORMA_q_age_pct,NORMA_q_age_valid,NORMA_q_age_abn,NORMA_q_age_pct_lo,NORMA_q_age_pct_hi,NORMA_q_age_reclass_pct,NORMA_q_age_reclass_valid,NORMA_q_age_reclass_abn,NORMA_q_age_reclass_pct_lo,NORMA_q_age_reclass_pct_hi,NORMA_q_age_set_co_pct,NORMA_q_age_set_co_valid,NORMA_q_age_set_co_abn,NORMA_q_age_set_co_pct_lo,NORMA_q_age_set_co_pct_hi,NORMA_q_age_set_co_reclass_pct,NORMA_q_age_set_co_reclass_valid,NORMA_q_age_set_co_reclass_abn,NORMA_q_age_set_co_reclass_pct_lo,NORMA_q_age_set_co_reclass_pct_hi,n_popri_normal,PopRI_per_1000,PerRI_per_1000,Cohen_m2_per_1000,Cohen_m3_per_1000,Cohen_m4_per_1000,Gaussian_mle_per_1000,Gaussian_trunc_per_1000,Gaussian_eb_per_1000,NORMA_q_age_set_per_1000,NORMA_334f7e21_per_1000,NORMA_q_age_per_1000,NORMA_q_age_set_co_per_1000,PopRI_pct_median,PopRI_pct_q25,PopRI_pct_q75,PerRI_pct_median,PerRI_pct_q25,PerRI_pct_q75,PerRI_reclass_pct_median,PerRI_reclass_pct_q25,PerRI_reclass_pct_q75,Cohen_m2_pct_median,Cohen_m2_pct_q25,Cohen_m2_pct_q75,Cohen_m2_reclass_pct_median,Cohen_m2_reclass_pct_q25,Cohen_m2_reclass_pct_q75,Cohen_m3_pct_median,Cohen_m3_pct_q25,Cohen_m3_pct_q75,Cohen_m3_reclass_pct_median,Cohen_m3_reclass_pct_q25,Cohen_m3_reclass_pct_q75,Cohen_m4_pct_median,Cohen_m4_pct_q25,Cohen_m4_pct_q75,Cohen_m4_reclass_pct_median,Cohen_m4_reclass_pct_q25,Cohen_m4_reclass_pct_q75,Gaussian_mle_pct_median,Gaussian_mle_pct_q25,Gaussian_mle_pct_q75,Gaussian_mle_reclass_pct_median,Gaussian_mle_reclass_pct_q25,Gaussian_mle_reclass_pct_q75,Gaussian_trunc_pct_median,Gaussian_trunc_pct_q25,Gaussian_trunc_pct_q75,Gaussian_trunc_reclass_pct_median,Gaussian_trunc_reclass_pct_q25,Gaussian_trunc_reclass_pct_q75,Gaussian_eb_pct_median,Gaussian_eb_pct_q25,Gaussian_eb_pct_q75,Gaussian_eb_reclass_pct_median,Gaussian_eb_reclass_pct_q25,Gaussian_eb_reclass_pct_q75,NORMA_q_age_set_pct_median,NORMA_q_age_set_pct_q25,NORMA_q_age_set_pct_q75,NORMA_q_age_set_reclass_pct_median,NORMA_q_age_set_reclass_pct_q25,NORMA_q_age_set_reclass_pct_q75,NORMA_334f7e21_pct_median,NORMA_334f7e21_pct_q25,NORMA_334f7e21_pct_q75,NORMA_334f7e21_reclass_pct_median,NORMA_334f7e21_reclass_pct_q25,NORMA_334f7e21_reclass_pct_q75,NORMA_q_age_pct_median,NORMA_q_age_pct_q25,NORMA_q_age_pct_q75,NORMA_q_age_reclass_pct_median,NORMA_q_age_reclass_pct_q25,NORMA_q_age_reclass_pct_q75,NORMA_q_age_set_co_pct_median,NORMA_q_age_set_co_pct_q25,NORMA_q_age_set_co_pct_q75,NORMA_q_age_set_co_reclass_pct_median,NORMA_q_age_set_co_reclass_pct_q25,NORMA_q_age_set_co_reclass_pct_q75
all,A1C,762,269,85.96,762,655,81.65,89.91,91.73,762,699,88.53,94.92,41.12,107,44,30.48,55.0,91.86,762,700,88.4,95.84,42.06,107,45,30.97,56.59,94.09,762,717,91.97,96.38,57.94,107,62,47.24,67.93,91.34,762,696,88.04,94.8,38.32,107,41,25.95,52.34,87.53,762,667,83.34,91.43,11.21,107,12,4.26,19.56,88.85,762,677,84.98,92.66,20.56,107,22,10.46,31.92,87.4,762,666,83.32,91.17,10.28,107,11,4.84,16.29,86.48,762,659,82.28,90.3,3.74,107,4,0.84,7.15,86.35,762,658,82.15,90.07,2.8,107,3,0.0,6.25,86.35,762,658,82.15,90.07,2.8,107,3,0.0,6.25,86.48,762,659,82.28,90.3,3.74,107,4,0.84,7.15,107,860.0,917.0,919.0,941.0,913.0,875.0,888.0,874.0,865.0,864.0,864.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,ALB,129454,26021,44.71,129454,57873,44.08,45.41,64.32,129454,83269,63.67,64.93,35.48,71581,25396,34.78,36.32,64.58,129454,83599,64.11,65.12,35.94,71581,25726,35.35,36.55,54.52,129454,70579,53.92,55.11,17.75,71581,12706,17.36,18.16,53.7,129454,69520,53.09,54.25,16.27,71581,11647,15.93,16.69,52.0,129454,67318,51.4,52.6,13.19,71581,9445,12.78,13.59,64.49,129454,83482,63.82,64.96,35.78,71581,25609,35.06,36.45,49.99,129454,64718,49.37,50.64,9.56,71581,6845,9.25,9.88,49.7,129454,64335,49.09,50.32,9.03,71581,6462,8.69,9.35,49.31,129454,63840,48.65,49.94,8.34,71581,5967,8.02,8.65,49.64,129454,64267,49.01,50.3,8.93,71581,6394,8.58,9.29,51.79,129454,67043,51.18,52.36,12.81,71581,9170,12.42,13.17,71581,447.0,643.0,646.0,545.0,537.0,520.0,645.0,500.0,497.0,493.0,496.0,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,ALP,106963,23442,9.02,106963,9652,8.59,9.39,49.37,106963,52803,48.77,49.92,44.34,97311,43151,43.76,44.91,20.64,106963,22072,20.18,21.11,12.76,97311,12420,12.4,13.13,21.5,106963,22998,20.92,22.07,13.71,97311,13346,13.27,14.24,17.81,106963,19048,17.36,18.35,9.66,97311,9396,9.26,10.15,26.66,106963,28521,26.17,27.16,19.39,97311,18869,18.96,19.87,33.93,106963,36295,33.37,34.55,27.38,97311,26643,26.85,28.03,23.84,106963,25496,23.33,24.35,16.28,97311,15844,15.89,16.69,29.25,106963,31290,28.71,29.82,22.24,97311,21638,21.74,22.74,27.13,106963,29022,26.62,27.75,19.91,97311,19370,19.43,20.4,28.53,106963,30514,27.99,29.1,21.44,97311,20862,20.97,21.93,28.42,106963,30401,27.94,29.01,21.32,97311,20749,20.89,21.84,97311,90.0,494.0,206.0,215.0,178.0,267.0,339.0,238.0,293.0,271.0,285.0,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,ALT,99761,21694,30.34,99761,30268,29.84,30.9,56.55,99761,56411,55.95,57.17,37.62,69493,26143,36.93,38.29,40.43,99761,40338,39.89,41.01,14.49,69493,10070,14.02,14.97,52.21,99761,52085,51.71,52.75,31.39,69493,21817,30.73,32.1,40.89,99761,40791,40.37,41.54,15.14,69493,10523,14.58,15.81,40.79,99761,40693,40.32,41.39,15.0,69493,10425,14.6,15.46,50.5,99761,50381,49.87,51.21,28.94,69493,20113,28.15,29.67,37.4,99761,37309,36.92,37.99,10.13,69493,7041,9.81,10.56,44.38,99761,44276,43.81,45.1,20.16,69493,14008,19.53,20.72,44.37,99761,44260,43.82,45.03,20.13,69493,13992,19.56,20.69,44.68,99761,44577,44.14,45.34,20.59,69493,14309,19.98,21.21,46.22,99761,46105,45.66,46.82,22.79,69493,15837,22.23,23.31,69493,303.0,565.0,404.0,522.0,409.0,408.0,505.0,374.0,444.0,444.0,447.0,462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,AST,99180,21748,5.31,99180,5264,5.02,5.58,38.87,99180,38552,38.11,39.53,35.44,93916,33288,34.76,36.1,28.24,99180,28013,27.67,28.74,24.22,93916,22749,23.73,24.66,42.68,99180,42334,42.18,43.36,39.47,93916,37070,38.92,40.09,27.47,99180,27249,26.9,27.91,23.41,93916,21985,22.85,23.91,16.01,99180,15879,15.6,16.39,11.3,93916,10615,10.96,11.61,30.37,99180,30119,29.64,31.01,26.47,93916,24855,25.72,27.09,14.48,99180,14361,14.06,14.89,9.69,93916,9097,9.36,9.99,18.05,99180,17901,17.58,18.51,13.46,93916,12637,13.07,13.9,18.41,99180,18256,17.89,18.86,13.83,93916,12992,13.47,14.26,19.1,99180,18947,18.66,19.58,14.57,93916,13683,14.22,14.97,18.82,99180,18665,18.37,19.33,14.27,93916,13401,13.88,14.68,93916,53.0,389.0,282.0,427.0,275.0,160.0,304.0,145.0,180.0,184.0,191.0,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BUN,125128,25387,37.62,125128,47079,36.93,38.22,59.08,125128,73931,58.51,59.6,34.4,78049,26852,33.76,35.06,49.18,125128,61536,48.57,49.73,18.52,78049,14457,18.04,19.0,49.46,125128,61894,48.95,50.02,18.98,78049,14815,18.57,19.4,51.35,125128,64254,50.8,51.8,22.01,78049,17175,21.53,22.47,45.2,125128,56555,44.65,45.85,12.14,78049,9476,11.85,12.49,57.68,125128,72174,57.08,58.33,32.15,78049,25095,31.54,33.0,41.86,125128,52383,41.28,42.44,6.8,78049,5304,6.56,7.01,45.58,125128,57037,44.98,46.14,12.76,78049,9958,12.4,13.13,47.09,125128,58924,46.48,47.62,15.18,78049,11845,14.78,15.53,46.97,125128,58776,46.35,47.54,14.99,78049,11697,14.61,15.38,47.24,125128,59113,46.67,47.77,15.42,78049,12034,14.96,15.8,78049,376.0,591.0,492.0,495.0,514.0,452.0,577.0,419.0,456.0,471.0,470.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CA,133970,25179,43.37,133970,58100,42.7,44.1,61.55,133970,82462,60.96,62.18,32.11,75870,24362,31.32,32.89,57.17,133970,76584,56.67,57.73,24.36,75870,18484,23.69,24.93,49.57,133970,66408,49.03,50.22,10.95,75870,8308,10.39,11.42,52.85,133970,70798,52.37,53.44,16.74,75870,12698,16.22,17.23,51.37,133970,68822,50.83,51.97,14.13,75870,10722,13.7,14.59,67.97,133970,91053,67.32,68.69,43.43,75870,32953,42.44,44.44,47.94,133970,64223,47.36,48.56,8.07,75870,6123,7.73,8.41,49.45,133970,66252,48.84,50.02,10.74,75870,8152,10.3,11.21,49.29,133970,66028,48.71,49.88,10.45,75870,7928,9.96,10.81,48.69,133970,65234,48.09,49.32,9.4,75870,7134,8.92,9.78,52.33,133970,70103,51.74,52.95,15.82,75870,12003,15.38,16.33,75870,434.0,616.0,572.0,496.0,528.0,514.0,680.0,479.0,495.0,493.0,487.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CL,148582,26586,37.88,148582,56289,37.15,38.61,55.48,148582,82438,54.81,56.16,28.33,92293,26149,27.68,29.07,59.16,148582,87901,58.65,59.7,34.25,92293,31612,33.77,34.76,64.61,148582,96003,64.09,65.08,43.03,92293,39714,42.49,43.4,57.75,148582,85801,57.26,58.25,31.98,92293,29512,31.58,32.32,44.62,148582,66302,43.97,45.23,10.85,92293,10013,10.54,11.1,51.81,148582,76977,51.26,52.35,22.42,92293,20688,21.84,22.93,40.05,148582,59514,39.31,40.7,3.49,92293,3225,3.31,3.7,43.32,148582,64370,42.62,44.01,8.76,92293,8081,8.46,9.08,45.02,148582,66897,44.32,45.69,11.49,92293,10608,11.14,11.84,44.38,148582,65942,43.71,45.05,10.46,92293,9653,10.2,10.78,44.47,148582,66080,43.8,45.16,10.61,92293,9791,10.3,10.99,92293,379.0,555.0,592.0,646.0,577.0,446.0,518.0,401.0,433.0,450.0,444.0,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CO2,72999,11015,48.89,72999,35687,47.88,49.69,61.51,72999,44905,60.52,62.41,24.71,37312,9218,23.63,25.75,63.62,72999,46440,62.72,64.38,28.82,37312,10753,27.88,29.7,63.85,72999,46612,63.14,64.46,29.28,37312,10925,28.28,30.16,61.61,72999,44974,60.9,62.21,24.89,37312,9287,24.01,25.83,55.1,72999,40223,54.04,55.88,12.16,37312,4536,11.56,12.71,60.9,72999,44454,59.91,61.67,23.5,37312,8767,22.06,25.0,48.97,72999,35747,47.93,49.78,0.16,37312,60,0.09,0.27,53.09,72999,38753,52.27,53.85,8.22,37312,3066,7.8,8.77,55.0,72999,40146,54.09,55.84,11.95,37312,4459,11.44,12.49,54.23,72999,39588,53.24,55.07,10.46,37312,3901,9.99,10.9,55.88,72999,40794,54.99,56.75,13.69,37312,5107,13.18,14.24,37312,489.0,615.0,636.0,639.0,616.0,551.0,609.0,490.0,531.0,550.0,542.0,559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CRE,192918,36501,25.84,192918,49856,25.34,26.38,38.4,192918,74086,37.85,38.97,16.94,143062,24230,16.54,17.45,27.37,192918,52801,26.82,27.93,2.06,143062,2945,1.87,2.23,27.51,192918,53074,26.96,28.07,2.25,143062,3218,2.05,2.43,30.64,192918,59109,30.09,31.24,6.47,143062,9253,6.22,6.78,34.53,192918,66613,34.02,35.02,11.71,143062,16757,11.39,12.02,46.87,192918,90429,46.41,47.45,28.36,143062,40573,27.85,28.88,30.74,192918,59294,30.23,31.31,6.6,143062,9438,6.32,6.87,33.09,192918,63837,32.6,33.7,9.77,143062,13981,9.44,10.06,33.41,192918,64463,32.88,33.99,10.21,143062,14607,9.87,10.5,33.62,192918,64856,33.12,34.19,10.48,143062,15000,10.17,10.77,35.33,192918,68152,34.83,35.85,12.79,143062,18296,12.43,13.06,143062,258.0,384.0,274.0,275.0,306.0,345.0,469.0,307.0,331.0,334.0,336.0,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,GLU,311256,30550,81.68,311256,254229,81.33,82.0,87.15,311256,271274,86.8,87.46,29.89,57027,17045,29.0,30.87,83.04,311256,258458,82.7,83.38,7.42,57027,4229,6.71,8.09,89.68,311256,279141,89.44,89.92,43.68,57027,24912,42.92,44.44,93.54,311256,291135,93.38,93.72,64.72,57027,36906,64.03,65.64,83.49,311256,259855,83.13,83.82,9.87,57027,5626,9.45,10.22,83.91,311256,261175,83.59,84.24,12.18,57027,6946,11.61,12.7,81.9,311256,254908,81.54,82.25,1.19,57027,679,0.99,1.45,82.76,311256,257589,82.42,83.1,5.89,57027,3360,5.6,6.29,82.26,311256,256054,81.92,82.61,3.2,57027,1825,2.97,3.49,83.05,311256,258500,82.71,83.37,7.49,57027,4271,7.17,7.8,82.51,311256,256810,82.17,82.87,4.53,57027,2581,4.23,4.92,57027,817.0,872.0,830.0,897.0,935.0,835.0,839.0,819.0,828.0,823.0,831.0,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,HCT,221901,37050,85.06,221901,188749,84.68,85.34,92.0,221901,204143,91.72,92.24,46.43,33152,15394,45.46,47.54,85.76,221901,190302,85.39,86.09,4.68,33152,1553,4.16,5.13,86.72,221901,192435,86.37,87.03,11.12,33152,3686,10.72,11.56,87.13,221901,193333,86.79,87.43,13.83,33152,4584,13.13,14.54,87.0,221901,193054,86.68,87.31,12.99,33152,4305,12.37,13.57,91.38,221901,202772,91.08,91.59,42.3,33152,14023,41.11,43.37,86.0,221901,190831,85.62,86.3,6.28,33152,2082,5.87,6.73,85.86,221901,190524,85.47,86.15,5.35,33152,1775,5.0,5.75,86.1,221901,191048,85.75,86.37,6.93,33152,2299,6.51,7.44,86.03,221901,190904,85.66,86.29,6.5,33152,2155,6.08,6.98,87.02,221901,193089,86.68,87.26,13.09,33152,4340,12.53,13.62,33152,851.0,920.0,858.0,867.0,871.0,870.0,914.0,860.0,859.0,861.0,860.0,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,HGB,173208,31437,84.43,173208,146245,84.07,84.81,91.07,173208,157746,90.75,91.35,42.65,26963,11501,41.44,43.69,86.27,173208,149427,85.94,86.57,11.8,26963,3182,11.09,12.51,86.13,173208,149176,85.77,86.45,10.87,26963,2931,10.23,11.51,85.8,173208,148610,85.46,86.12,8.77,26963,2365,8.13,9.34,86.45,173208,149737,86.1,86.78,12.95,26963,3492,12.35,13.56,87.52,173208,151600,87.2,87.79,19.86,26963,5355,18.89,20.75,85.59,173208,148253,85.25,85.92,7.45,26963,2008,7.03,7.9,85.58,173208,148224,85.22,85.92,7.34,26963,1979,6.91,7.81,85.77,173208,148566,85.43,86.12,8.61,26963,2321,8.1,9.18,85.58,173208,148237,85.24,85.92,7.39,26963,1992,6.88,7.84,86.66,173208,150105,86.33,87.0,14.32,26963,3860,13.79,14.91,26963,844.0,911.0,863.0,861.0,858.0,864.0,875.0,856.0,856.0,858.0,856.0,867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,K,213185,34278,15.5,213185,33036,15.12,15.81,34.97,213185,74558,34.45,35.49,23.05,180149,41522,22.61,23.59,32.12,213185,68471,31.66,32.5,19.67,180149,35435,19.41,20.0,23.89,213185,50922,23.43,24.22,9.93,180149,17886,9.69,10.12,36.65,213185,78131,36.23,37.04,25.03,180149,45095,24.74,25.34,24.48,213185,52189,24.15,24.78,10.63,180149,19153,10.41,10.89,43.23,213185,92155,42.47,43.83,32.82,180149,59119,32.0,33.52,22.08,213185,47062,21.72,22.46,7.79,180149,14026,7.6,7.99,25.43,213185,54207,24.96,25.79,11.75,180149,21171,11.46,12.05,26.8,213185,57143,26.31,27.2,13.38,180149,24107,13.07,13.69,25.91,213185,55236,25.45,26.28,12.32,180149,22200,12.05,12.57,27.05,213185,57667,26.61,27.42,13.67,180149,24631,13.42,13.92,180149,155.0,350.0,321.0,239.0,366.0,245.0,432.0,221.0,254.0,268.0,259.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,NA,199591,33857,22.17,199591,44240,21.65,22.65,47.2,199591,94202,46.52,47.71,32.16,155351,49962,31.63,32.71,40.9,199591,81633,40.42,41.39,24.07,155351,37393,23.62,24.5,44.15,199591,88110,43.67,44.64,28.24,155351,43870,27.88,28.68,36.86,199591,73569,36.4,37.39,18.88,155351,29329,18.5,19.31,29.99,199591,59854,29.49,30.5,10.05,155351,15614,9.79,10.37,62.43,199591,124606,61.8,63.19,51.73,155351,80366,50.97,52.64,27.0,199591,53897,26.45,27.52,6.22,155351,9657,5.98,6.49,29.0,199591,57876,28.51,29.6,8.78,155351,13636,8.46,9.15,29.8,199591,59480,29.25,30.38,9.81,155351,15240,9.45,10.18,29.76,199591,59408,29.26,30.33,9.76,155351,15168,9.43,10.17,32.01,199591,63891,31.49,32.6,12.65,155351,19651,12.27,13.01,155351,222.0,472.0,409.0,441.0,369.0,300.0,624.0,270.0,290.0,298.0,298.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,PLT,149793,29222,22.81,149793,34161,22.06,23.53,60.07,149793,89980,59.26,60.61,48.27,115632,55819,47.58,48.91,38.77,149793,58072,38.16,39.32,20.68,115632,23911,20.33,21.08,34.66,149793,51915,34.06,35.32,15.35,115632,17754,15.03,15.72,34.07,149793,51039,33.32,34.77,14.6,115632,16878,14.22,15.02,39.59,149793,59302,38.89,40.21,21.74,115632,25141,21.26,22.18,49.44,149793,74061,48.71,50.17,34.51,115632,39900,33.85,35.19,36.93,149793,55324,36.28,37.56,18.3,115632,21163,17.98,18.7,46.9,149793,70254,46.33,47.42,31.21,115632,36093,30.6,31.85,44.53,149793,66710,43.97,45.02,28.15,115632,32549,27.62,28.65,45.18,149793,67675,44.64,45.65,28.98,115632,33514,28.5,29.5,47.8,149793,71599,47.25,48.29,32.38,115632,37438,31.87,32.85,115632,228.0,601.0,388.0,347.0,341.0,396.0,494.0,369.0,469.0,445.0,452.0,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,TBIL,111673,24126,12.24,111673,13670,11.83,12.65,35.38,111673,39515,34.79,35.88,26.37,98003,25845,25.84,26.88,28.23,111673,31530,27.54,28.91,18.22,98003,17860,17.74,18.83,25.2,111673,28146,24.67,25.76,14.77,98003,14476,14.17,15.31,32.66,111673,36477,32.17,33.24,23.27,98003,22807,22.79,23.84,21.69,111673,24227,21.21,22.19,10.77,98003,10557,10.44,11.08,46.98,111673,52462,46.2,47.66,39.58,98003,38792,38.78,40.5,21.06,111673,23518,20.56,21.55,10.05,98003,9848,9.75,10.34,22.57,111673,25210,21.89,23.1,11.78,98003,11540,11.26,12.33,24.6,111673,27472,24.0,25.16,14.08,98003,13802,13.6,14.61,25.3,111673,28253,24.7,25.85,14.88,98003,14583,14.36,15.4,23.68,111673,26440,23.02,24.13,13.03,98003,12770,12.53,13.43,98003,122.0,354.0,282.0,252.0,327.0,217.0,470.0,211.0,226.0,246.0,253.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,TP,119565,24293,32.87,119565,39296,32.19,33.44,54.26,119565,64876,53.65,54.83,31.87,80269,25580,31.28,32.48,49.53,119565,59217,49.02,50.0,24.82,80269,19921,24.26,25.39,47.44,119565,56726,46.85,47.92,21.71,80269,17430,21.24,22.22,53.8,119565,64324,53.23,54.2,31.18,80269,25028,30.69,31.63,41.15,119565,49203,40.48,41.64,12.34,80269,9907,11.91,12.68,58.78,119565,70277,58.13,59.35,38.6,80269,30981,37.82,39.38,40.34,119565,48231,39.65,40.83,11.13,80269,8935,10.75,11.41,41.06,119565,49093,40.41,41.64,12.21,80269,9797,11.73,12.62,39.88,119565,47686,39.28,40.46,10.45,80269,8390,10.1,10.83,39.76,119565,47537,39.13,40.35,10.27,80269,8241,9.87,10.63,40.79,119565,48768,40.16,41.31,11.8,80269,9472,11.42,12.08,80269,329.0,543.0,495.0,474.0,538.0,412.0,588.0,403.0,411.0,399.0,398.0,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,WBC,152632,29418,31.18,152632,47596,30.66,31.71,48.45,152632,73946,47.87,49.0,25.09,105036,26350,24.55,25.68,52.98,152632,80866,52.38,53.54,31.67,105036,33270,31.07,32.27,44.85,152632,68458,44.33,45.36,19.86,105036,20862,19.37,20.26,39.97,152632,61011,39.48,40.51,12.77,105036,13415,12.41,13.12,38.54,152632,58819,38.0,39.03,10.68,105036,11223,10.42,11.0,44.74,152632,68293,44.21,45.3,19.7,105036,20697,19.2,20.16,35.53,152632,54235,35.02,36.06,6.32,105036,6639,6.13,6.58,38.07,152632,58109,37.51,38.6,10.01,105036,10513,9.66,10.37,41.3,152632,63033,40.73,41.88,14.7,105036,15437,14.33,15.12,39.75,152632,60674,39.19,40.33,12.45,105036,13078,12.12,12.82,41.82,152632,63828,41.26,42.32,15.45,105036,16232,15.09,15.88,105036,312.0,484.0,530.0,449.0,400.0,385.0,447.0,355.0,381.0,413.0,398.0,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
